condition,author_set,feature,window_size,window_index,start_mark,end_mark,target_author,run_id,source_book,target_kl,nearest_other_kl,target_margin,target_rank,target_hit,predicted_author
flash,all_authors,f1,1000,1,0,1000,jane_austen,1,full_books/jane_austen_full.txt,0.08865275955972561,0.03936246188531593,-0.04929029767440968,6,False,oscar_wilde
flash,all_authors,f1,1000,2,1000,2000,jane_austen,1,full_books/jane_austen_full.txt,0.08186187622158216,0.024895527030110894,-0.05696634919147126,7,False,oscar_wilde
flash,all_authors,f1,1000,3,2000,3000,jane_austen,1,full_books/jane_austen_full.txt,0.054482119483899014,0.024403952528468192,-0.03007816695543082,7,False,herbert_george_wells
flash,all_authors,f1,1000,4,3000,4000,jane_austen,1,full_books/jane_austen_full.txt,0.05718225301393588,0.04045007515958497,-0.01673217785435091,5,False,kathleen_thompson_norris
flash,all_authors,f1,1000,5,4000,5000,jane_austen,1,full_books/jane_austen_full.txt,0.08125826902656387,0.05344574023941914,-0.027812528787144727,6,False,oscar_wilde
flash,all_authors,f1,1000,1,0,1000,jane_austen,2,full_books/jane_austen_full.txt,0.11132787256010865,0.06778629097462159,-0.04354158158548706,5,False,oscar_wilde
flash,all_authors,f1,1000,2,1000,2000,jane_austen,2,full_books/jane_austen_full.txt,0.1292069143636772,0.08381937239976014,-0.04538754196391706,5,False,oscar_wilde
flash,all_authors,f1,1000,3,2000,3000,jane_austen,2,full_books/jane_austen_full.txt,0.09839121231087894,0.050320276842282685,-0.048070935468596254,6,False,oscar_wilde
flash,all_authors,f1,1000,4,3000,4000,jane_austen,2,full_books/jane_austen_full.txt,0.08902810473179187,0.030103055417741255,-0.05892504931405062,8,False,herbert_george_wells
flash,all_authors,f1,1000,5,4000,5000,jane_austen,2,full_books/jane_austen_full.txt,0.08019195253112213,0.030736843678969436,-0.04945510885215269,8,False,herbert_george_wells
flash,all_authors,f1,1000,1,0,1000,jane_austen,3,gutenberg_texts/161.txt,0.09987710850042379,0.026725566324367303,-0.07315154217605649,14,False,oscar_wilde
flash,all_authors,f1,1000,2,1000,2000,jane_austen,3,gutenberg_texts/161.txt,0.09725911236490054,0.030039931461380426,-0.06721918090352011,9,False,herbert_george_wells
flash,all_authors,f1,1000,3,2000,3000,jane_austen,3,gutenberg_texts/161.txt,0.16556966661986763,0.09489472646321515,-0.07067494015665249,5,False,joseph_conrad
flash,all_authors,f1,1000,4,3000,4000,jane_austen,3,gutenberg_texts/161.txt,0.11042363442680089,0.043259919320448134,-0.06716371510635276,6,False,joseph_conrad
flash,all_authors,f1,1000,5,4000,5000,jane_austen,3,gutenberg_texts/161.txt,0.12103898689598398,0.05853987926165375,-0.06249910763433023,5,False,joseph_conrad
flash,all_authors,f1,1000,1,0,1000,jane_austen,4,full_books/jane_austen_full.txt,0.06931159200848419,0.04708688142396128,-0.02222471058452291,5,False,oscar_wilde
flash,all_authors,f1,1000,2,1000,2000,jane_austen,4,full_books/jane_austen_full.txt,0.032577707565631456,0.046810685650814754,0.014232978085183298,1,True,jane_austen
flash,all_authors,f1,1000,3,2000,3000,jane_austen,4,full_books/jane_austen_full.txt,0.06849789809760666,0.029722987548842048,-0.03877491054876461,9,False,kathleen_thompson_norris
flash,all_authors,f1,1000,4,3000,4000,jane_austen,4,full_books/jane_austen_full.txt,0.06228507192508771,0.024754345416503894,-0.037530726508583814,9,False,oscar_wilde
flash,all_authors,f1,1000,5,4000,5000,jane_austen,4,full_books/jane_austen_full.txt,0.20902273998510038,0.12353489142530534,-0.08548784855979503,5,False,mary_shelley
flash,all_authors,f1,1000,1,0,1000,jane_austen,5,full_books/jane_austen_full.txt,0.09383816323522177,0.08158425430902538,-0.012253908926196391,4,False,oscar_wilde
flash,all_authors,f1,1000,2,1000,2000,jane_austen,5,full_books/jane_austen_full.txt,0.14095101931441426,0.09734968235767119,-0.043601336956743064,5,False,mary_shelley
