author,included_books,excluded_books,n_marks,caller,build_calls
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/15317.txt,gutenberg_texts/13960.txt;gutenberg_texts/161.txt;gutenberg_texts/18247.txt;gutenberg_texts/18656.txt;gutenberg_texts/24267.txt;gutenberg_texts/244.txt;gutenberg_texts/30486.txt;gutenberg_texts/31589.txt;gutenberg_texts/32331.txt;gutenberg_texts/34832.txt;gutenberg_texts/35.txt;gutenberg_texts/4787.txt;gutenberg_texts/54648.txt;gutenberg_texts/5658.txt;gutenberg_texts/7063.txt;gutenberg_texts/76.txt;gutenberg_texts/773.txt;gutenberg_texts/8874.txt;gutenberg_texts/9378.txt;gutenberg_texts/98.txt,37359,__main__.crossfit_separability:707,2
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/15317.txt,gutenberg_texts/7063.txt,37359,__main__.collect_attribution_observations:225,12
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/15317.txt,gutenberg_texts/7063.txt,37359,__main__.collect_attribution_observations:260,180
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt,gutenberg_texts/1342.txt;gutenberg_texts/13547.txt;gutenberg_texts/1400.txt;gutenberg_texts/14522.txt;gutenberg_texts/15238.txt;gutenberg_texts/15317.txt;gutenberg_texts/2021.txt;gutenberg_texts/21108.txt;gutenberg_texts/24589.txt;gutenberg_texts/28301.txt;gutenberg_texts/2852.txt;gutenberg_texts/29824.txt;gutenberg_texts/32059.txt;gutenberg_texts/32542.txt;gutenberg_texts/35082.txt;gutenberg_texts/36.txt;gutenberg_texts/55562.txt;gutenberg_texts/86.txt;gutenberg_texts/9182.txt;gutenberg_texts/9779.txt,50170,__main__.crossfit_separability:707,2
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt,gutenberg_texts/15317.txt,50170,__main__.collect_attribution_observations:225,12
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,full_books/herbert_george_wells_full.txt,68607,__main__.collect_attribution_observations:225,12
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,full_books/herbert_george_wells_full.txt,68607,__main__.collect_attribution_observations:260,180
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,full_books/jane_austen_full.txt,68607,__main__.collect_attribution_observations:225,12
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,full_books/jane_austen_full.txt,68607,__main__.collect_attribution_observations:260,252
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,gutenberg_texts/12360.txt,68607,__main__.collect_attribution_observations:225,6
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,gutenberg_texts/12360.txt,68607,__main__.collect_attribution_observations:260,90
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,gutenberg_texts/1260.txt,68607,__main__.collect_attribution_observations:225,12
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,gutenberg_texts/1260.txt,68607,__main__.collect_attribution_observations:260,180
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,gutenberg_texts/1342.txt,68607,__main__.collect_attribution_observations:225,12
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,gutenberg_texts/13547.txt,68607,__main__.collect_attribution_observations:225,6
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,gutenberg_texts/13960.txt,68607,__main__.collect_attribution_observations:225,6
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,gutenberg_texts/13960.txt,68607,__main__.collect_attribution_observations:260,90
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,gutenberg_texts/1400.txt,68607,__main__.collect_attribution_observations:225,12
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,gutenberg_texts/1400.txt,68607,__main__.collect_attribution_observations:260,108
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,gutenberg_texts/14522.txt,68607,__main__.collect_attribution_observations:225,12
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,gutenberg_texts/15238.txt,68607,__main__.collect_attribution_observations:225,12
agnes_may_fleming,full_books/agnes_may_fleming_full.txt;gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,gutenberg_texts/161.txt,68607,__main__.collect_attribution_observations:225,12
