feature,fold,author,held_out_book,reference_books,consistency_C,nearest_other_D,nearest_other,margin_D_over_C,document_correct,chunk_size,chunk_correct,chunk_total,chunk_accuracy
f1,0,jane_austen,full_books/jane_austen_full.txt,gutenberg_texts/161.txt;gutenberg_texts/1342.txt,0.012128685727047513,0.013289073739740438,mark_twain,1.095673021694775,1,2000,10,12,0.8333333333333334
f1,0,herbert_george_wells,full_books/herbert_george_wells_full.txt,gutenberg_texts/35.txt;gutenberg_texts/36.txt,0.009056866003278635,0.015574726374691025,joseph_conrad,1.7196595786062077,0,2000,0,5,0.0
f1,0,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,gutenberg_texts/7063.txt;gutenberg_texts/15317.txt,0.018073452989745997,0.02024776826944745,louis_joseph_vance,1.1203043646908564,0,2000,0,9,0.0
f1,0,charles_dickens,gutenberg_texts/46.txt,gutenberg_texts/98.txt;gutenberg_texts/1400.txt,0.00576303173971035,0.016978114039411518,louis_joseph_vance,2.9460386140897494,0,2000,0,3,0.0
f1,0,mark_twain,gutenberg_texts/74.txt,gutenberg_texts/76.txt;gutenberg_texts/86.txt,0.007420269537982832,0.010043995375252919,charlotte_bronte,1.353589020431101,0,2000,0,6,0.0
f1,0,arthur_conan_doyle,gutenberg_texts/1661.txt,gutenberg_texts/244.txt;gutenberg_texts/2852.txt,0.02270947599266442,0.03165072683847885,robert_sidney_bowen,1.3937233447703778,1,2000,9,9,1.0
f1,0,mary_shelley,gutenberg_texts/84.txt,gutenberg_texts/18247.txt;gutenberg_texts/15238.txt,0.10243083974222722,0.06759546425104938,oscar_wilde,0.6599132099390872,1,2000,4,5,0.8
f1,0,charlotte_bronte,gutenberg_texts/1260.txt,gutenberg_texts/30486.txt;gutenberg_texts/9182.txt,0.082278745328171,0.011523677443364872,louis_joseph_vance,0.14005655284851964,1,2000,18,18,1.0
f1,0,oscar_wilde,gutenberg_texts/174.txt,gutenberg_texts/773.txt;gutenberg_texts/14522.txt,0.19243856128400075,0.038195131541045396,herbert_george_wells,0.19847961492851238,0,2000,0,7,0.0
f1,0,joseph_conrad,gutenberg_texts/219.txt,gutenberg_texts/5658.txt;gutenberg_texts/2021.txt,0.01097553929519804,0.01754753039272082,herbert_george_wells,1.5987852551717547,0,2000,0,2,0.0
f1,0,mildred_wirt,gutenberg_texts/34592.txt,gutenberg_texts/34832.txt;gutenberg_texts/35082.txt,0.006315357805672031,0.02921570583993386,ethel_m_dell,4.626136275872489,1,2000,4,4,1.0
f1,0,robert_sidney_bowen,gutenberg_texts/32440.txt,gutenberg_texts/32331.txt;gutenberg_texts/32542.txt,0.0017829618770574215,0.018358163950690502,ethel_m_dell,10.296442221742055,0,2000,0,4,0.0
