feature,chunk_size,author,margin_D_over_C,loo_accuracy_pct,margin_gt_1,accuracy_ge_50,threshold_exception,spearman_rho,spearman_p,n_threshold_exceptions
f1,2000,jane_austen,1.8488415454904918,77.41935483870968,True,True,False,0.6427558447261146,0.002239144761398291,4
f1,2000,herbert_george_wells,0.0551192097204558,0.0,False,False,False,0.6427558447261146,0.002239144761398291,4
f1,2000,agnes_may_fleming,0.4479176755257906,30.303030303030305,False,False,False,0.6427558447261146,0.002239144761398291,4
f1,2000,charles_dickens,0.8216541157300875,82.3529411764706,False,True,True,0.6427558447261146,0.002239144761398291,4
f1,2000,mark_twain,0.5034460034183126,37.5,False,False,False,0.6427558447261146,0.002239144761398291,4
f1,2000,arthur_conan_doyle,2.8897530333063877,82.3529411764706,True,True,False,0.6427558447261146,0.002239144761398291,4
f1,2000,mary_shelley,0.7569362052821687,90.0,False,True,True,0.6427558447261146,0.002239144761398291,4
f1,2000,charlotte_bronte,0.22262521776265257,56.666666666666664,False,True,True,0.6427558447261146,0.002239144761398291,4
f1,2000,oscar_wilde,0.018853991474264763,0.0,False,False,False,0.6427558447261146,0.002239144761398291,4
f1,2000,joseph_conrad,0.2662100262498205,40.0,False,False,False,0.6427558447261146,0.002239144761398291,4
f1,2000,mildred_wirt,4.686635690411741,100.0,True,True,False,0.6427558447261146,0.002239144761398291,4
f1,2000,robert_sidney_bowen,1.0306533159238125,58.333333333333336,True,True,False,0.6427558447261146,0.002239144761398291,4
f1,2000,luis_senarens,5.9469929015694545,11.11111111111111,True,False,True,0.6427558447261146,0.002239144761398291,4
f1,2000,john_c_hutcheson,2.8676168707061644,100.0,True,True,False,0.6427558447261146,0.002239144761398291,4
f1,2000,harold_l_goodwin,4.6870359296404756,100.0,True,True,False,0.6427558447261146,0.002239144761398291,4
f1,2000,kathleen_thompson_norris,2.1622840486764807,65.38461538461539,True,True,False,0.6427558447261146,0.002239144761398291,4
f1,2000,arthur_scott_bailey,2.7583919978545364,100.0,True,True,False,0.6427558447261146,0.002239144761398291,4
f1,2000,louis_joseph_vance,1.5231750111320859,52.38095238095238,True,True,False,0.6427558447261146,0.002239144761398291,4
f1,2000,susan_warner,4.068286754510191,95.16129032258064,True,True,False,0.6427558447261146,0.002239144761398291,4
f1,2000,ethel_m_dell,2.1375809208823,84.61538461538461,True,True,False,0.6427558447261146,0.002239144761398291,4
f3,2000,jane_austen,2.29045673605596,83.87096774193549,True,True,False,0.6500622297885501,0.0019171851067066909,5
f3,2000,herbert_george_wells,0.23046887950792214,9.090909090909092,False,False,False,0.6500622297885501,0.0019171851067066909,5
f3,2000,agnes_may_fleming,0.4488318096328832,33.333333333333336,False,False,False,0.6500622297885501,0.0019171851067066909,5
f3,2000,charles_dickens,0.7688307656846519,91.17647058823529,False,True,True,0.6500622297885501,0.0019171851067066909,5
f3,2000,mark_twain,1.2489023548097815,79.16666666666667,True,True,False,0.6500622297885501,0.0019171851067066909,5
f3,2000,arthur_conan_doyle,1.940013484009958,94.11764705882354,True,True,False,0.6500622297885501,0.0019171851067066909,5
f3,2000,mary_shelley,0.7317029017045527,95.0,False,True,True,0.6500622297885501,0.0019171851067066909,5
f3,2000,charlotte_bronte,0.45472301400897275,58.333333333333336,False,True,True,0.6500622297885501,0.0019171851067066909,5
f3,2000,oscar_wilde,0.08385168688461839,0.0,False,False,False,0.6500622297885501,0.0019171851067066909,5
f3,2000,joseph_conrad,0.3328329143642885,68.0,False,True,True,0.6500622297885501,0.0019171851067066909,5
f3,2000,mildred_wirt,3.496439814725611,100.0,True,True,False,0.6500622297885501,0.0019171851067066909,5
f3,2000,robert_sidney_bowen,1.4323488824119466,66.66666666666667,True,True,False,0.6500622297885501,0.0019171851067066909,5
f3,2000,luis_senarens,5.372622424073337,33.333333333333336,True,False,True,0.6500622297885501,0.0019171851067066909,5
f3,2000,john_c_hutcheson,3.1769636078505417,100.0,True,True,False,0.6500622297885501,0.0019171851067066909,5
f3,2000,harold_l_goodwin,3.334482601507307,100.0,True,True,False,0.6500622297885501,0.0019171851067066909,5
f3,2000,kathleen_thompson_norris,2.126087592865348,84.61538461538461,True,True,False,0.6500622297885501,0.0019171851067066909,5
f3,2000,arthur_scott_bailey,2.2650826427231823,100.0,True,True,False,0.6500622297885501,0.0019171851067066909,5
f3,2000,louis_joseph_vance,1.443674330686461,76.19047619047619,True,True,False,0.6500622297885501,0.0019171851067066909,5
f3,2000,susan_warner,3.1569872335653337,95.16129032258064,True,True,False,0.6500622297885501,0.0019171851067066909,5
f3,2000,ethel_m_dell,2.5767829628638865,94.87179487179488,True,True,False,0.6500622297885501,0.0019171851067066909,5
