condition,author_set,feature,window_size,window_index,start_mark,end_mark,target_author,run_id,source_book,target_kl,nearest_other_kl,target_margin,target_rank,target_hit,predicted_author
flash,all_authors,f1,1000,1,0,1000,jane_austen,1,full_books/jane_austen_full.txt,0.08615794159585954,0.045855340933627135,-0.04030260066223241,5,False,oscar_wilde
flash,all_authors,f1,1000,2,1000,2000,jane_austen,1,full_books/jane_austen_full.txt,0.08080318787290339,0.02987495459883966,-0.050928233274063726,7,False,oscar_wilde
flash,all_authors,f1,1000,3,2000,3000,jane_austen,1,full_books/jane_austen_full.txt,0.0587957106357746,0.03126481101316113,-0.027530899622613472,6,False,herbert_george_wells
flash,all_authors,f1,1000,4,3000,4000,jane_austen,1,full_books/jane_austen_full.txt,0.050110716884783676,0.04546201432065726,-0.004648702564126417,2,False,charles_dickens
flash,all_authors,f1,1000,5,4000,5000,jane_austen,1,full_books/jane_austen_full.txt,0.0833549124572941,0.061794330446559576,-0.02156058201073452,5,False,oscar_wilde
flash,all_authors,f1,1000,1,0,1000,jane_austen,2,full_books/jane_austen_full.txt,0.1049370654380698,0.07562926400657825,-0.029307801431491545,3,False,oscar_wilde
flash,all_authors,f1,1000,2,1000,2000,jane_austen,2,full_books/jane_austen_full.txt,0.123013509844813,0.092015262186282,-0.030998247658531,4,False,oscar_wilde
flash,all_authors,f1,1000,3,2000,3000,jane_austen,2,full_books/jane_austen_full.txt,0.0939124531832937,0.05764139329501649,-0.03627105988827722,4,False,oscar_wilde
flash,all_authors,f1,1000,4,3000,4000,jane_austen,2,full_books/jane_austen_full.txt,0.0915273896620942,0.03814554097555484,-0.05338184868653936,7,False,oscar_wilde
flash,all_authors,f1,1000,5,4000,5000,jane_austen,2,full_books/jane_austen_full.txt,0.08559713505322733,0.03547452969063722,-0.05012260536259011,7,False,herbert_george_wells
flash,all_authors,f1,1000,1,0,1000,jane_austen,3,gutenberg_texts/161.txt,0.10457818413765192,0.026136560102571725,-0.0784416240350802,9,False,herbert_george_wells
flash,all_authors,f1,1000,2,1000,2000,jane_austen,3,gutenberg_texts/161.txt,0.09564569662593127,0.03327344111943403,-0.062372255506497234,7,False,oscar_wilde
flash,all_authors,f1,1000,3,2000,3000,jane_austen,3,gutenberg_texts/161.txt,0.15882260287825392,0.10488497557436378,-0.05393762730389014,5,False,joseph_conrad
flash,all_authors,f1,1000,4,3000,4000,jane_austen,3,gutenberg_texts/161.txt,0.10801052968692647,0.04897563482976117,-0.0590348948571653,5,False,oscar_wilde
flash,all_authors,f1,1000,5,4000,5000,jane_austen,3,gutenberg_texts/161.txt,0.11721969557305559,0.06552021287524518,-0.05169948269781041,5,False,joseph_conrad
flash,all_authors,f1,1000,1,0,1000,jane_austen,4,full_books/jane_austen_full.txt,0.06329077643829903,0.05567292669704786,-0.0076178497412511675,3,False,oscar_wilde
flash,all_authors,f1,1000,2,1000,2000,jane_austen,4,full_books/jane_austen_full.txt,0.025262785788665833,0.046810685650814754,0.02154789986214892,1,True,jane_austen
flash,all_authors,f1,1000,3,2000,3000,jane_austen,4,full_books/jane_austen_full.txt,0.06892094786515439,0.034815521523654656,-0.03410542634149973,6,False,charles_dickens
flash,all_authors,f1,1000,4,3000,4000,jane_austen,4,full_books/jane_austen_full.txt,0.06296794632975257,0.02913907968368633,-0.03382886664606624,8,False,oscar_wilde
