rival_mode,window_policy,feature,test_chunk_size,budget_n,contrast,n_authors,accuracy_difference,accuracy_ci_low,accuracy_ci_high,accuracy_wilcoxon_p,accuracy_n_authors_favouring_two,kl_true_difference,kl_true_ci_low,kl_true_ci_high,kl_true_wilcoxon_p,kl_true_n_authors_favouring_two,margin_difference,margin_ci_low,margin_ci_high,margin_wilcoxon_p,margin_n_authors_favouring_two
asymmetric,middle,f1,1000,500,two_books - one_book,20,0.05968593795312212,0.01944837730766117,0.10312153835251602,0.02389437956760016,15,-0.011595805807140485,-0.022607525406241412,0.0009050774955591507,0.0072956085205078125,15,0.011595805807140487,-0.0009050774955591549,0.022607525406241415,0.0072956085205078125,15
asymmetric,middle,f1,1000,1000,two_books - one_book,20,0.03573681356248841,-0.014344490292328997,0.08512551770582297,0.22732992995598733,12,-0.017652391343860502,-0.033096493374656,-0.006048603618580052,0.0014324188232421875,16,0.017652391343860506,0.006048603618580051,0.033096493374656005,0.0014324188232421875,16
asymmetric,middle,f1,1000,2000,two_books - one_book,19,0.058857477070244475,0.015464159922287588,0.1014590688468049,0.019117271543546473,13,-0.008620081896137477,-0.019251935994432413,0.001024189272253107,0.00945281982421875,15,0.008620081896137471,-0.0010241892722531278,0.0192519359944324,0.00945281982421875,15
asymmetric,middle,f1,1000,4000,two_books - one_book,18,0.060294963765317594,0.024757502727255007,0.10469395982637796,0.0032045855456292547,13,-0.007791263971623967,-0.014602991767563297,-0.0021528272756702388,0.00896453857421875,14,0.00779126397162397,0.0021528272756702396,0.014602991767563299,0.00896453857421875,14
asymmetric,middle,f1,2000,500,two_books - one_book,20,0.0497629884484517,-0.01113407615929064,0.11557634641870886,0.15364646911621094,13,-0.011093268714999358,-0.022531776274169406,0.001966432691276768,0.01068878173828125,15,0.01109326871499936,-0.001966432691276775,0.02253177627416941,0.01068878173828125,15
asymmetric,middle,f1,2000,1000,two_books - one_book,20,0.04781812726251098,-0.0022932608287506203,0.09926614242703806,0.10243990540645082,13,-0.017959955259555523,-0.033808575882785956,-0.006000774466580247,0.001689910888671875,16,0.01795995525955552,0.006000774466580243,0.03380857588278593,0.001689910888671875,16
asymmetric,middle,f1,2000,2000,two_books - one_book,18,0.056465284398073225,-0.0033689803480799817,0.11764622329220789,0.1094211588192293,9,-0.005094950569601976,-0.01298330026090166,0.0029737286534294977,0.0182342529296875,14,0.00509495056960197,-0.002973728653429511,0.012983300260901656,0.0182342529296875,14
asymmetric,middle,f1,2000,4000,two_books - one_book,17,0.05296983472501654,0.004695959779086057,0.10358380633248025,0.0534743671544843,12,-0.005009482045554354,-0.01001966177495706,-0.0012469475357720138,0.023223876953125,13,0.005009482045554351,0.0012469475357720116,0.010019661774957058,0.023223876953125,13
asymmetric,middle,f3,1000,500,two_books - one_book,20,0.08186237678745405,0.035521650446135845,0.12963399353298657,0.011236471025746899,15,-0.014885932868965801,-0.033623397327147406,0.005230483626792797,0.01923370361328125,13,0.014885932868965803,-0.005230483626792814,0.033623397327147406,0.01923370361328125,13
asymmetric,middle,f3,1000,1000,two_books - one_book,20,0.0665394488973631,0.017860092360294167,0.11282891514677795,0.027857098015306787,13,-0.031093198240865233,-0.06055090081073412,-0.01197203068370545,0.000133514404296875,17,0.031093198240865223,0.01197203068370544,0.06055090081073411,0.000133514404296875,17
